val1,val2,val3,last_matrix,num_moves_Q_learning_needs,first_move_by_Q_learning,Q_table_val
1,-7,-1,4,10,0,9800.897604079579
-1,-14,5,3,10,1,9800.897604194965
-2,-3,-2,2,8,0,9840.55888139888
3,-3,-5,4,8,1,9840.55888139888
5,16,3,3,10,0,9800.897604194965
-5,12,-5,2,10,0,9800.897604192693
1,-5,-1,1,8,0,9840.55888139888
-3,-16,1,3,12,1,9761.315609880061
-1,-11,5,1,10,1,9800.897604194965
2,-3,-6,1,8,1,9840.55888139888
5,10,-1,3,10,3,9800.89760418499
-3,-2,-3,1,8,0,9840.55888139888
3,2,-3,1,8,1,9840.55888139888
-1,6,-7,1,8,2,9840.55888139888
-3,3,-3,4,6,0,9880.299600299879
3,1,-1,4,6,1,9880.299600299879
-3,-9,3,3,6,3,9880.299600299879
-4,0,-4,3,8,0,9840.55888139888
1,-3,-1,4,6,0,9880.299600299879
-4,0,-4,4,8,0,9840.55888139888
0,-8,0,1,12,2,9761.315563223807
4,-8,-2,4,6,2,9880.299600299879
-4,-11,2,3,8,3,9840.55888139888
11,10,3,1,16,2,9682.382337449137
2,0,-6,4,8,1,9840.55888139888
0,3,0,3,8,0,9840.55888139888
0,0,0,3,0,0,10000.0
1,8,3,2,8,0,9840.55888139888
0,-5,0,1,10,0,9800.897604194965
7,18,1,1,12,1,9757.684825161265
1,-9,3,1,10,1,9800.897604194965
4,-9,-2,4,8,0,9840.55888139888
1,5,3,2,6,0,9880.299600299879
0,-16,-2,2,14,3,9718.996791449827
2,1,0,4,4,1,9920.119920019999
1,1,3,1,4,3,9920.119920019999
-4,20,-4,4,10,1,9800.897604194965
3,-6,-9,1,12,2,9761.31560988418
2,10,6,4,8,3,9840.55888139888
4,10,8,1,12,3,9761.31560988418
-6,5,-2,3,8,0,9840.55888139888
1,5,-1,4,8,3,9840.55888139888
-3,5,-3,2,6,0,9880.299600299879
6,-13,0,1,12,0,9761.315606985554
0,-9,0,2,12,0,9761.315429142986
-3,1,1,2,6,0,9880.299600299879
-5,8,-3,2,8,0,9840.55888139888
-3,4,-1,4,6,0,9880.299600299879
3,-5,3,2,10,1,9800.897604194965
-5,10,-1,2,8,2,9840.55888139888
2,-4,0,1,6,2,9880.299600299879
2,-7,-8,4,10,1,9800.897573202612
2,-6,0,3,8,0,9840.55888139888
-1,-2,1,3,4,1,9920.119920019999
-2,5,0,3,8,1,9840.55888139888
2,-7,-2,2,8,0,9840.55888139888
-4,-11,0,2,10,3,9800.897604194965
-2,9,0,1,10,1,9800.897532669875
2,4,0,1,6,3,9880.299600299879
0,1,4,3,6,0,9880.299600299879
3,-6,-1,1,6,2,9880.299600299879
-9,-6,3,3,12,0,9761.315591682303
7,2,-1,3,10,1,9800.848057840722
-1,3,-1,1,6,1,9880.299600299879
-4,16,-4,2,8,2,9840.55888139888
2,10,6,3,8,3,9840.55888139888
-4,23,-4,1,12,2,9761.31560988418
0,4,6,1,8,0,9840.55888139888
4,4,2,3,6,1,9880.299600299879
7,-17,-5,1,12,1,9760.215156668957
4,7,2,4,6,3,9880.299600299879
-4,-15,4,2,8,3,9840.55888139888
0,-16,6,1,12,1,9761.31560988418
3,-9,1,2,10,2,9800.897604194965
0,6,-8,1,10,1,9800.897604194948
-1,-7,3,1,8,1,9840.55888139888
-3,1,-3,2,6,0,9880.299600299879
3,-21,-5,2,12,0,9761.315609222913
6,6,4,3,10,1,9800.897604194965
2,2,-2,2,6,1,9880.299600299879
-4,-4,0,2,6,3,9880.299600299879
4,-19,-4,4,10,0,9800.897604194965
7,-5,-1,3,8,1,9840.55888139888
-2,-4,-4,3,8,0,9840.55888139888
-4,-3,2,3,6,0,9880.299600299879
0,9,4,4,10,0,9800.897604194965
3,-3,-1,4,4,2,9920.119920019999
-4,14,-6,2,10,0,9800.897604194965
-3,-14,3,3,10,1,9800.897604194965
-8,-15,4,3,12,3,9761.315609878233
-3,9,-1,4,8,2,9840.55888139888
1,1,1,3,2,3,9960.02
-1,-6,-1,4,10,0,9800.897048116367
-3,5,-7,1,10,0,9800.897604194965
-7,17,-1,3,12,0,9761.31560763626
-2,-13,-4,3,14,3,9715.658436448733
-1,4,1,3,8,0,9840.55888139888
0,5,-2,4,8,1,9840.55888139888
-1,-1,-5,2,8,0,9840.55888139888
-9,-12,5,3,14,0,9721.81273998002
-3,8,-1,1,8,1,9840.55888139888
